Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm,shape2D_MeshSurfaceArea,shape2D_PixelSurface,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_Sphericity,shape2D_SphericalDisproportion,shape2D_MajorAxisLength,shape2D_MinorAxisLength,shape2D_Elongation,shape2D_Flatness,shape_VoxelVolume,shape_MeshVolume,shape_SurfaceArea,shape_SurfaceVolumeRatio,shape_Sphericity,shape_Compactness1,shape_Compactness2,shape_SphericalDisproportion,shape_Maximum3DDiameter,shape_Maximum2DDiameterSlice,shape_Maximum2DDiameterColumn,shape_Maximum2DDiameterRow,shape_MajorAxisLength,shape_MinorAxisLength,shape_LeastAxisLength,shape_Elongation,firstorder_Energy,firstorder_TotalEnergy,firstorder_Entropy,firstorder_Minimum,firstorder_10Percentile,firstorder_90Percentile,firstorder_Maximum,firstorder_Mean,firstorder_Median,firstorder_InterquartileRange,firstorder_Range,firstorder_MeanAbsoluteDeviation,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_Variance,firstorder_StandardDeviation,firstorder_Skewness,firstorder_Kurtosis,firstorder_Uniformity,glcm_Autocorrelation,glcm_JointAverage,glcm_ClusterProminence,glcm_ClusterShade,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_JointEnergy,glcm_JointEntropy,glcm_Idm,glcm_Idmn,glcm_Id,glcm_Idn,glcm_InverseVariance,glcm_MaximumProbability,glcm_SumSquares,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_SumAverage,glcm_SumEntropy,glcm_Imc1,glcm_Imc2,glrlm_ShortRunEmphasis,glrlm_LongRunEmphasis,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_GrayLevelVariance,glrlm_RunVariance,glrlm_RunEntropy,glrlm_LowGrayLevelRunEmphasis,glrlm_HighGrayLevelRunEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glszm_SmallAreaEmphasis,glszm_LargeAreaEmphasis,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_ZonePercentage,glszm_GrayLevelVariance,glszm_ZoneVariance,glszm_ZoneEntropy,glszm_LowGrayLevelZoneEmphasis,glszm_HighGrayLevelZoneEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,ngtdm_Coarseness,ngtdm_Contrast,ngtdm_Busyness,ngtdm_Complexity,ngtdm_Strength,gldm_SmallDependenceEmphasis,gldm_LargeDependenceEmphasis,gldm_GrayLevelNonUniformity,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependencePercentage,gldm_GrayLevelVariance,gldm_DependenceVariance,gldm_DependenceEntropy,gldm_LowGrayLevelEmphasis,gldm_HighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,Centroid_X,Centroid_Y
ytma10_010704_benign1_ccd.tif,a13697b5-0bf6-4e46-abd4-bcafc54f40e1,Annotation,,,Root object (Image),Polygon,26.4,97.73,80.75,41,323,323,82,0.2539,0.6036,1.6566,22.6374,18.2967,0.8083,0.8083,323,323,82,0.2539,0.6036,0.2454,21.4001,1.6566,29.0689,29.0689,22,19,22.6374,18.2967,18.2967,0.8083,5198844,5198844,1.9445,65,97,154,174,124.743,123,34,109,19.0036,13.9612,126.868,534.6677,23.1229,-0.1655,2.5797,0.292,13.6326,3.5805,33.2702,-1.5169,3.568,0.3188,0.836,0.1571,3.0918,0.8466,0.9878,0.8473,0.9488,0.2999,0.2651,0.9717,0.3087,0.9227,0.2235,7.1611,2.7491,-0.4274,0,0.339,16.8205,59.4821,0.305,33.6256,0.1724,0.6037,0.8748,5.8457,4.5261,0.1382,11.5795,0.0498,3.5301,1.5729,256.2667,0.1429,3715.625,2,0.25,1,0.125,0.0248,1.6094,2085.4844,3,0.2533,9.875,0.0142,2.0647,338.5469,48233.75,0.0495,0.0216,1.5072,2.1841,0.4353,0.0389,41.031,94.3251,51.0557,0.1581,1,0.9426,3.3397,4.5004,0.116,13.3994,0.005,0.4705,4.0245,611.8266,52.7941,195.4505
ytma10_010704_benign1_ccd.tif,1fe5cc0e-1656-45a7-b1ce-69a656585d35,Annotation,,,Root object (Image),Polygon,267.81,275.98,80.5,56,322,322,112,0.3478,0.3226,3.1001,38.1375,11.3446,0.2975,0.2975,322,322,112,0.3478,0.3226,0.1533,8.3466,3.1001,40.2244,40.2244,33,23,38.1375,11.3446,11.3446,0.2975,3753660,3753660,1.412,72,88,126,151,107.0186,106,21,79,11.6537,8.6414,107.9691,204.3413,14.2948,0.0478,2.6531,0.432,7.6906,2.7282,4.1405,0.0694,1.2662,0.2757,0.6424,0.2783,2.3279,0.8653,0.9894,0.8656,0.955,0.266,0.4408,0.3855,0.2705,0.8596,0.2025,5.4564,2.0378,-0.2815,0,0.4293,20.3386,67.5079,0.3572,37,0.1958,0.587,0.5908,8.7282,4.1118,0.1415,9.8466,0.051,5.33,3.165,155.3122,0.4108,2459.875,6.875,0.4297,3.25,0.2031,0.0497,1,2054.8594,3.1494,0.1492,13.25,0.0391,6.8708,333.9643,20043.875,0.0319,0.0113,1.9605,2.811,0.2826,0.0584,43.9876,139.0994,49.4783,0.1537,1,0.4176,4.7891,3.9918,0.1541,8.2298,0.0075,0.7105,7.0499,326.0186,535.6211,551.9658
ytma10_010704_benign1_ccd.tif,d56c2a18-b156-43de-aceb-e3644ec23f3c,Annotation,,,Root object (Image),Polygon,41.41,194.7,79.75,42,319,319,84,0.2633,0.5681,1.7602,24.2453,17.0198,0.702,0.702,319,319,84,0.2633,0.5681,0.2338,19.4176,1.7602,29.6985,29.6985,21,21,24.2453,17.0198,17.0198,0.702,3227257,3227257,1.4236,69,83,124,155,99.2132,94,19,86,12.8745,8.6244,100.5823,273.5408,16.5391,1.0747,3.8855,0.4601,6.052,2.3854,11.204,2.5008,1.6417,0.1951,0.7876,0.372,2.1275,0.9025,0.9925,0.9025,0.9675,0.1951,0.5767,0.4592,0.1951,0.7119,0.157,4.7709,1.9324,-0.4195,0,0.3742,37.8759,47,0.3241,22.8759,0.1578,0.4545,0.7634,18.5159,4.537,0.1824,8.7586,0.0508,4.2181,8.7314,191.8207,0.2289,4481.5,3.2,0.32,1.4,0.14,0.0313,1.09,3463.89,3.1219,0.1971,10.7,0.0264,2.2344,1039.1839,21201.7,0.0449,0.0107,1.7516,2.0795,0.4289,0.0405,52.5549,146.7743,65.0188,0.2038,1,0.5162,4.6025,3.7537,0.2116,6.4796,0.0068,0.3665,11.6847,287.7712,82.826,389.4091
ytma10_010704_benign1_ccd.tif,a8c024c8-799e-43fa-97a3-8e6e5100b0c9,Annotation,,,Root object (Image),Polygon,390.71,160.11,78.75,42,315,315,84,0.2667,0.561,1.7825,28.3209,14.3383,0.5063,0.5063,315,315,84,0.2667,0.561,0.2308,18.9337,1.7825,31.305,31.305,14,28,28.3209,14.3383,14.3383,0.5063,2768747,2768747,1.5222,65,74,121,156,91.819,86,20,91,14.3711,9.0636,93.7533,358.9355,18.9456,1.4169,4.545,0.4702,5.2554,2.1909,21.6318,3.8571,2.0785,0.2571,0.7798,0.3474,2.3876,0.8714,0.9901,0.8714,0.9571,0.2571,0.5714,0.5839,0.2571,0.8224,0.191,4.3818,2.1305,-0.3774,0,0.378,28.3787,48.7041,0.2882,29.5799,0.175,0.5365,1.0167,14.4821,4.5577,0.3032,7.0178,0.1069,3.4563,7.4896,142.1657,0.2938,3786.75,3.6667,0.3056,1.6667,0.1389,0.0381,1.5833,3097.6875,3.4183,0.409,7.8333,0.1155,1.9505,947.9097,16293,0.0409,0.0152,2.1807,2.4093,0.4298,0.0462,45.5968,148.1111,49.8063,0.1581,1,0.6402,4.025,3.8716,0.2907,5.6635,0.0138,0.358,12.9998,212.6413,781.4207,320.2143
ytma10_010704_benign1_ccd.tif,b0a7ff4c-9743-4bfd-8636-273ddc5c04f6,Annotation,,,Root object (Image),Polygon,398.25,37.17,78.5,49,314,314,98,0.3121,0.4109,2.434,31.5192,13.89,0.4407,0.4407,314,314,98,0.3121,0.4109,0.1826,11.8477,2.434,35.5106,35.5106,30,19,31.5192,13.89,13.89,0.4407,3396288,3396288,1.8601,65,75,132,152,101.7134,99,38,87,18.5659,14.797,104.001,470.593,21.6932,0.3371,2.0312,0.3107,6.8289,2.5035,17.3711,1.3768,2.6842,0.4386,0.7191,0.177,3.0621,0.8165,0.9836,0.8205,0.9383,0.3268,0.3535,0.7807,0.3789,1.0803,0.295,5.007,2.5872,-0.3014,0,0.4705,16.2752,60.8532,0.2791,51.2018,0.2349,0.6943,0.9526,7.9766,4.2414,0.2005,9.4908,0.0708,5.5451,4.2656,99.2569,0.4079,1611.25,5.25,0.3281,3,0.1875,0.051,1.0898,1226.1094,3.4056,0.1377,14.6875,0.0217,8.1626,375.856,8966.5625,0.033,0.03,3.151,3.3107,0.2696,0.0672,37.172,97.5669,43.8408,0.1396,1,0.8447,4.3836,4.4404,0.2379,7.6146,0.0099,0.8569,9.7648,228.9841,796.5,74.3376
ytma10_010704_benign1_ccd.tif,1cbc285a-3419-4b9b-b226-4adcc737ebd4,Annotation,,,Root object (Image),Polygon,213.37,88.14,78.5,43,314,314,86,0.2739,0.5335,1.8744,27.751,14.5355,0.5238,0.5238,314,314,86,0.2739,0.5335,0.2221,17.5314,1.8744,30.8058,30.8058,18,25,27.751,14.5355,14.5355,0.5238,3407766,3407766,1.0608,74,88,116,132,103.5987,105,15,58,8.7378,6.2357,104.1766,120.0619,10.9573,-0.4145,3.0596,0.5342,7.2309,2.6619,1.3342,-0.3594,0.7971,0.2161,0.5733,0.3673,1.8238,0.8919,0.9873,0.8919,0.9568,0.2161,0.5382,0.2533,0.2161,0.7531,0.1694,5.3238,1.6077,-0.2474,0,0.3598,29.3935,70.0323,0.4518,23.9161,0.1543,0.4936,0.3764,12.978,4.2299,0.1666,7.6839,0.0601,3.1707,4.3465,226.4258,0.2713,5345.3333,2.5556,0.284,1.4444,0.1605,0.0287,1.0617,4128.0988,2.9477,0.24,8.7778,0.1222,2.5891,712.267,43858.5556,0.0304,0.0096,2.5442,1.5035,0.1754,0.0415,49.949,167.7516,54.5987,0.1739,1,0.2581,4.365,3.6551,0.1577,7.5,0.0085,0.3455,7.6042,376.0987,426.7389,176.2707
ytma10_010704_benign1_ccd.tif,cfe981a1-fc10-4aaf-a9f0-eff661f77c25,Annotation,,,Root object (Image),Polygon,256.64,362.55,78.25,42,313,313,84,0.2684,0.5574,1.7939,24.236,16.6287,0.6861,0.6861,313,313,84,0.2684,0.5574,0.2294,18.694,1.7939,29.7321,29.7321,20,22,24.236,16.6287,16.6287,0.6861,2635789,2635789,1.8896,51,57,129,153,87.7859,86,39,102,22.1349,16.9646,91.7663,714.6794,26.7335,0.608,2.4109,0.299,4.1554,1.8685,24.4028,3.9541,3.1365,0.48,0.7345,0.2087,2.92,0.8194,0.9824,0.8257,0.9388,0.2965,0.3845,0.9041,0.3811,1.121,0.3348,3.737,2.4316,-0.3473,0,0.6321,18.0636,57.5364,0.2615,82.0273,0.3729,0.7029,1.0822,9.967,3.7346,0.2458,8.7955,0.0796,6.9838,13.1555,49.8091,0.4156,970.4815,10.9259,0.4047,5.4444,0.2016,0.0863,0.6859,836.0933,3.5986,0.1169,13.5926,0.0291,6.6324,685.97,2287.2222,0.0489,0.0323,4.1142,2.5921,0.4474,0.0889,42.3099,93.5879,54.0927,0.1728,1,1.1084,7.3376,4.0036,0.508,5.1725,0.0162,1.0301,30.1377,109.492,513.2764,725.0911
ytma10_010704_benign1_ccd.tif,f45cf482-0848-4f9a-b71e-adf063eabf4c,Annotation,,,Root object (Image),Polygon,100.04,68.63,78,43,312,312,86,0.2756,0.5301,1.8864,25.0918,16.2296,0.6468,0.6468,312,312,86,0.2756,0.5301,0.2207,17.3088,1.8864,30.4795,30.4795,23,20,25.0918,16.2296,16.2296,0.6468,4908604,4908604,1.4044,89,107,142,183,124.5513,125,21,94,11.9003,8.7489,125.4301,219.6833,14.8217,0.2619,3.6875,0.4291,6.397,2.4721,6.0034,-0.0634,1.3913,0.2478,0.6976,0.2706,2.321,0.8761,0.9905,0.8761,0.9587,0.2478,0.3621,0.4098,0.2478,0.8078,0.1864,4.9442,2.0731,-0.3374,0,0.2916,22.5939,64.8061,0.3928,24.4061,0.1479,0.5288,0.5402,8.2918,4.4358,0.2207,6.9273,0.0565,2.3499,4.4719,147.5152,0.4795,3361.6364,3.3636,0.3058,2.8182,0.2562,0.0353,1.0579,2557.1405,3.0272,0.2189,9,0.0599,5.3165,597.6886,22652,0.0359,0.0093,1.9056,2.4511,0.3851,0.0476,46.2821,133.8718,51.0833,0.1637,1,0.4166,3.6981,4.0532,0.2121,6.6346,0.0088,0.397,9.3954,302.7308,200.0769,137.2564
ytma10_010704_benign1_ccd.tif,eac4d93b-6250-4bc8-ba7e-07ddf1f6f06a,Annotation,,,Root object (Image),Polygon,305.35,326.5,78,40,312,312,80,0.2564,0.6126,1.6324,24.3924,16.3724,0.6712,0.6712,312,312,80,0.2564,0.6126,0.246,21.5026,1.6324,28.8444,28.8444,16,24,24.3924,16.3724,16.3724,0.6712,4815789,4815789,1.1457,96,112,136,150,123.8686,124,12,54,7.3564,5.0968,124.2386,91.7936,9.5809,-0.2018,3.4907,0.4782,6.196,2.4538,1.8343,-0.1773,0.9357,0.2369,0.5959,0.3068,1.9874,0.8815,0.9861,0.8815,0.9526,0.2369,0.3894,0.2932,0.2369,0.7899,0.1808,4.9077,1.7505,-0.2588,0,0.2846,24.15,74.4625,0.4654,23.1625,0.1448,0.5128,0.3365,8.94,4.2069,0.1964,6.7438,0.0467,2.2299,4.5629,154.25,0.2056,7029.2,1.4,0.28,1,0.2,0.016,1.04,3135.44,2.3219,0.3069,7.8,0.0181,3.2063,1420.7736,40405.6,0.0301,0.0113,3.1063,1.5529,0.1713,0.034,47.1154,149.2115,50.609,0.1622,1,0.2945,3.3521,3.7689,0.1953,6.4487,0.0062,0.2585,9.0131,298.5064,610.7083,652.9968
ytma10_010704_benign1_ccd.tif,efcc581d-cdc0-4a48-b78d-4a766e934082,Annotation,,,Root object (Image),Polygon,439.33,317.03,77.75,42,311,311,84,0.2701,0.5539,1.8055,27.5326,14.5825,0.5296,0.5296,311,311,84,0.2701,0.5539,0.2279,18.4559,1.8055,30.5287,30.5287,26,16,27.5326,14.5825,14.5825,0.5296,4189506,4189506,1.4963,87,97,134,156,115.1254,113,24,69,12.3413,9.532,116.065,217.2222,14.7385,0.4137,2.4634,0.4123,4.6289,2.0807,6.0703,0.2635,1.4652,0.2667,0.692,0.2706,2.4131,0.8667,0.9843,0.8667,0.9467,0.2667,0.4684,0.433,0.2667,0.8366,0.1956,4.1614,2.1465,-0.3204,0,0.4113,20.7667,59.6111,0.3312,33.3111,0.1851,0.5788,0.6752,8.8258,4.1627,0.3009,6.25,0.0852,3.5738,6.339,96.5111,0.2275,3275.7273,3.5455,0.3223,1.3636,0.124,0.0354,1.0579,2476.3802,3.2776,0.2721,9,0.0213,3.3139,912.7386,13993.3636,0.0349,0.0209,3.7837,1.5834,0.1783,0.0462,44.9035,128.2219,47.2637,0.152,1,0.471,4.2475,4.0555,0.326,5.0707,0.0113,0.3685,14.8014,205.5531,878.6544,634.0595
ytma10_010704_benign1_ccd.tif,3edbbf66-ae64-489e-9219-8aa6c4c212e3,Annotation,,,Root object (Image),Polygon,57.46,309.07,77.5,42,310,310,84,0.271,0.5521,1.8113,24.851,15.9924,0.6435,0.6435,310,310,84,0.271,0.5521,0.2272,18.3374,1.8113,30,30,18,24,24.851,15.9924,15.9924,0.6435,4063119,4063119,1.7059,72,88,137,168,112.9258,112,26,96,15.0966,10.7727,114.4851,354.5977,18.8308,0.2118,2.7068,0.3495,9.3003,2.9789,10.7015,0.5596,2.0088,0.3038,0.7373,0.2169,2.712,0.8523,0.9884,0.8528,0.9507,0.2906,0.3863,0.5781,0.2968,0.9003,0.2157,5.9579,2.3885,-0.3466,0,0.4104,18.0952,57.6243,0.3049,35.6878,0.1888,0.6097,0.8148,7.3341,4.4194,0.1245,11.9259,0.0457,5.9776,2.5874,160,0.3292,2331.2308,3.6154,0.2781,3,0.2308,0.0419,1.5976,1762.5917,3.3927,0.1603,15.2308,0.0396,5.8056,303.9371,20391.8462,0.0411,0.0166,1.6551,2.5538,0.3261,0.0534,42.8774,108.3355,42.8452,0.1382,1,0.6353,4.5174,4.3074,0.1356,9.9871,0.0066,0.7387,6.192,369.8839,114.9194,618.1484
ytma10_010704_benign1_ccd.tif,e8d16125-2782-494f-8e4d-98af73b50d69,Annotation,,,Root object (Image),Polygon,424.46,168,77,43,308,308,86,0.2792,0.5233,1.9109,26.7643,14.7404,0.5507,0.5507,308,308,86,0.2792,0.5233,0.2179,16.8678,1.9109,30.6105,30.6105,24,19,26.7643,14.7404,14.7404,0.5507,3569708,3569708,1.1061,65,94,123,142,106.9545,107,12,77,8.7609,5.3602,107.6567,150.6862,12.2754,-0.5589,4.5726,0.607,8.295,2.849,5.4162,-1.396,0.9265,0.2135,0.6255,0.4877,1.8053,0.8954,0.9875,0.8956,0.9581,0.2068,0.6873,0.285,0.2099,0.7527,0.1694,5.698,1.5793,-0.2768,0,0.4094,33.3557,51.5235,0.3458,26.557,0.1782,0.4838,0.6414,16.2639,4.1816,0.1662,9.3221,0.0527,4.7282,4.2069,291.5168,0.4617,3128.2222,9,0.5,4.1111,0.2284,0.0584,1,2835.4321,2.8583,0.159,12.1111,0.0506,6.0338,358.0305,27879.1667,0.0427,0.0104,1.7198,1.2439,0.2135,0.0584,51.4156,186.9545,58.9026,0.1912,1,0.302,5.1049,3.2949,0.1495,8.6331,0.0076,0.6628,6.941,438.4123,848.9124,336.0097
ytma10_010704_benign1_ccd.tif,af615408-b3f7-4ebe-b54b-ea2fed04bd0e,Annotation,,,Root object (Image),Polygon,409.51,140.73,76.75,40,307,307,80,0.2606,0.6028,1.6589,21.7141,18.138,0.8353,0.8353,307,307,80,0.2606,0.6028,0.2421,20.819,1.6589,28.3196,28.3196,19,21,21.7141,18.138,18.138,0.8353,4245912,4245912,1.6608,84,96,144,164,116.1433,111,27,80,15.4952,11.8516,117.6024,341.0609,18.4678,0.5974,2.461,0.3669,4.8355,2.1052,10.3473,0.9776,1.9044,0.29,0.7357,0.235,2.6207,0.855,0.9829,0.855,0.942,0.29,0.4271,0.5486,0.29,0.8687,0.2059,4.2104,2.3307,-0.3495,0,0.3618,18.453,53.1657,0.2937,30.547,0.1688,0.5896,0.8316,6.9456,4.3734,0.3021,6.768,0.0804,3.4305,6.0978,88.6077,0.2369,3249.7,3,0.3,1.2,0.12,0.0326,1.29,2307.21,3.1219,0.2833,9.7,0.0169,3.5621,880.4604,15056.2,0.0365,0.0293,4.3839,1.5576,0.1781,0.0463,42.7134,112.6417,47.1694,0.1536,1,0.6117,3.8846,4.1684,0.3372,5.3746,0.0117,0.3976,15.3493,190.9251,819.0146,281.4642
ytma10_010704_benign1_ccd.tif,043d35e4-d5b3-43e2-9920-e2cadcefd9f2,Annotation,,,Root object (Image),Polygon,399.3,267.99,76.75,40,307,307,80,0.2606,0.6028,1.6589,21.3866,18.422,0.8614,0.8614,307,307,80,0.2606,0.6028,0.2421,20.819,1.6589,28.3196,28.3196,19,21,21.3866,18.422,18.422,0.8614,4581740,4581740,1.2559,90,105,141,162,121.3876,119,21,72,11.3735,8.5803,122.1648,189.2797,13.7579,0.3706,2.58,0.4759,5.8868,2.3687,4.1173,0.6188,1.244,0.1397,0.7981,0.3795,1.9035,0.9302,0.9918,0.9302,0.9721,0.1397,0.5349,0.3459,0.1397,0.5835,0.1202,4.7374,1.7638,-0.4989,0,0.1832,51.7196,41.3925,0.3868,11.0748,0.1035,0.3485,0.5099,18.7913,4.8115,0.2371,6.5514,0.0503,1.3198,11.0631,286.1682,0.3266,6311.8571,2.1429,0.3061,1.2857,0.1837,0.0228,1.102,4388.4082,2.8074,0.378,7,0.1651,1.799,1352.0883,33638.5714,0.0611,0.0078,1.8504,0.8318,0.3031,0.0305,56.987,146.0945,71.2801,0.2322,1,0.3393,3.1295,3.5185,0.2175,5.9935,0.0088,0.1889,12.0295,329.2704,798.5912,535.9756
ytma10_010704_benign1_ccd.tif,aa368d68-3dbe-40b9-9992-2b2ddea521e7,Annotation,,,Root object (Image),Polygon,350.43,94.67,76.25,42,305,305,84,0.2754,0.5432,1.841,21.6178,18.3545,0.849,0.849,305,305,84,0.2754,0.5432,0.2235,17.7506,1.841,29.6985,29.6985,21,21,21.6178,18.3545,18.3545,0.849,1240034,1240034,0.5736,50,53,77,100,63.1344,61,11,50,7.0667,4.9388,63.7627,79.7295,8.9291,1.0025,3.8279,0.7761,1.2233,1.0899,0.67,0.3479,0.2417,0.0996,0.4162,0.7522,0.8099,0.9502,0.99,0.9502,0.9751,0.0996,0.8639,0.0853,0.0996,0.4679,0.0897,2.1797,0.7103,-0.17,0,0.4908,90.9783,44.6087,0.4849,22.3043,0.2424,0.3016,0.2859,47.0156,3.3505,0.5731,2.8043,0.1393,1.9936,89.3611,97.5435,0.2159,11890.8333,3,0.5,1,0.1667,0.0197,0.3333,9306.8056,2.585,0.3519,4.3333,0.0308,1.697,11817.1852,12186.1667,0.065,0.0048,4.4625,0.4278,0.2515,0.033,62.8557,236.7246,127.9705,0.4196,1,0.1205,4.5462,2.0178,0.9036,1.4,0.0184,0.106,61.8495,66.8951,700.8607,189.3459
ytma10_010704_benign1_ccd.tif,3914b024-1355-4a25-9b7f-c907756f4718,Annotation,,,Root object (Image),Polygon,37.81,104.37,76.25,41,305,305,82,0.2689,0.57,1.7544,24.1687,16.2324,0.6716,0.6716,305,305,82,0.2689,0.57,0.2317,19.0814,1.7544,29.4109,29.4109,17,24,24.1687,16.2324,16.2324,0.6716,4750799,4750799,1.1711,91,107,139,146,124.2,125,18,55,10.0603,7.3791,124.8054,150.7502,12.278,-0.4171,2.5489,0.4717,6.5071,2.5116,2.7724,-0.6814,1.0405,0.2446,0.6193,0.3062,2.0321,0.8777,0.9755,0.8777,0.9388,0.2446,0.4437,0.3213,0.2446,0.8027,0.1848,5.0232,1.7875,-0.2688,0,0.292,25.1235,75.3457,0.4651,27.642,0.1706,0.5311,0.3312,10.945,3.9361,0.2385,5.7469,0.072,1.6928,4.1279,185.7037,0.3628,3472.1111,3.2222,0.358,1.6667,0.1852,0.0295,0.6173,2323.6543,2.9477,0.3549,5.5556,0.1403,2.3639,504.0123,27211.6667,0.0323,0.0238,5.0615,0.8048,0.1062,0.0414,46.2131,143.859,53.5049,0.1754,1,0.3154,3.3428,3.577,0.2022,6.5082,0.0108,0.256,8.1117,329.0525,75.6115,208.7328
ytma10_010704_benign1_ccd.tif,7021b83f-486d-4586-89c2-ef063bf3f1c1,Annotation,,,Root object (Image),Polygon,82.95,137.95,76.25,43,305,305,86,0.282,0.5182,1.9297,25.7742,15.3583,0.5959,0.5959,305,305,86,0.282,0.5182,0.2158,16.5408,1.9297,30.4138,30.4138,21,22,25.7742,15.3583,15.3583,0.5959,4851098,4851098,1.2644,86,107,142,155,125.4164,127,19,69,10.6762,7.8124,126.116,175.9676,13.2653,-0.3281,2.8727,0.4629,6.744,2.5519,3.8491,-0.6418,1.1656,0.239,0.6596,0.3021,2.1591,0.8816,0.986,0.8817,0.9526,0.2357,0.4458,0.3512,0.2372,0.7974,0.1827,5.1038,1.9135,-0.3041,0,0.2572,22.586,66.5796,0.4241,22.3631,0.1424,0.5148,0.4155,7.49,4.2531,0.2126,6.6178,0.0492,1.8386,3.8794,164.0382,0.2337,2743.2222,2.5556,0.284,1.2222,0.1358,0.0295,0.8889,1594.7654,3.1699,0.2454,8,0.0217,2.904,471.9637,18947.7778,0.0344,0.0129,2.6196,1.416,0.1875,0.0374,46.7967,141.1705,48.9344,0.1604,1,0.3464,3.3232,3.8777,0.1959,6.8197,0.0069,0.2875,8.5193,328.9049,165.8902,275.8967
ytma10_010704_benign1_ccd.tif,44ced80e-28b8-4654-89e8-0491c6f8aacf,Annotation,,,Root object (Image),Polygon,221.35,92.1,76,40,304,304,80,0.2632,0.5969,1.6753,19.8905,19.621,0.9864,0.9864,304,304,80,0.2632,0.5969,0.2397,20.4141,1.6753,28.2843,28.2843,20,20,19.8905,19.621,19.621,0.9864,3807769,3807769,0.815,74,101,122,148,111.4046,112,11,74,7.7519,4.6905,111.9176,114.5698,10.7037,-0.7408,5.0627,0.7164,8.7395,2.9407,1.7503,-0.4545,0.4953,0.1276,0.5904,0.6374,1.2736,0.9373,0.9925,0.9374,0.9749,0.1242,0.793,0.1557,0.1258,0.5509,0.1117,5.8814,1.1387,-0.3275,0,0.344,70.0198,40.8416,0.4044,13.6931,0.1356,0.3322,0.5007,33.7818,4.2525,0.1335,10.2277,0.0466,4.469,8.1198,621.6436,0.5742,5066.9231,7.9231,0.6095,4.2308,0.3254,0.0428,0.8639,4520.0828,2.5074,0.1528,13.3846,0.108,8.0325,571.2115,45332.4615,0.0594,0.0039,1.105,0.9437,0.3113,0.0486,60.0263,217.7961,92.5263,0.3044,1,0.17,4.465,2.738,0.1236,8.9737,0.0074,0.5811,7.2285,522.6118,442.6941,184.2039
ytma10_010704_benign1_ccd.tif,905afa25-d1b2-4a4b-8310-5972c6fe52c8,Annotation,,,Root object (Image),Polygon,9.39,353.23,76,42,304,304,84,0.2763,0.5414,1.847,25.2578,15.4107,0.6101,0.6101,304,304,84,0.2763,0.5414,0.2228,17.6344,1.847,29.8329,29.8329,19,23,25.2578,15.4107,15.4107,0.6101,2715253,2715253,0.8637,75,82,107,123,93.9901,92,16,48,8.16,6.2299,94.508,97.6085,9.8797,0.5294,2.6055,0.5914,1.7144,1.2592,1.0006,0.5574,0.6418,0.1262,0.6713,0.5057,1.3444,0.9369,0.9748,0.9369,0.9579,0.1262,0.6777,0.192,0.1262,0.547,0.1103,2.5184,1.2181,-0.3714,0,0.379,54.9009,56.2613,0.5069,16.7658,0.151,0.3651,0.2466,24.8981,3.9915,0.5811,2.6757,0.1154,1.4331,48.3333,81.1712,0.65,5303.2,8.2,0.82,4.2,0.42,0.0329,0.09,4379.04,1.571,0.325,3.7,0.1625,2.6001,4857.475,7086.1,0.0477,0.0299,74.0337,0.1378,0.0449,0.0461,59.3882,179.7961,88.7303,0.2919,1,0.2043,4.3161,3.0091,0.7854,1.8586,0.0213,0.1454,50.0304,96.8191,18.7796,706.4605
