ObjectID,group,truth,prediction
30a12a29-d3e7-452d-b2ea-470f1fcbe8c3,198B,invasive tumor,tumor-associated stroma
7f6d5ace-42b5-4dcd-b1f5-770ae0ba84df,198B,invasive tumor,invasive tumor
909a7569-c790-42f5-bcf0-64fbb20bb0cf,198B,invasive tumor,invasive tumor
19347155-7ff0-40d6-9c7d-20a5691f600b,198B,invasive tumor,invasive tumor
c68ac5eb-c796-4670-ac3f-f0724c61f9db,198B,invasive tumor,healthy glands
a163a668-85f9-4e94-a4b9-48b5bf2992bf,198B,invasive tumor,healthy glands
df4828eb-f3a1-49d9-830d-3bb97cb8e704,198B,invasive tumor,invasive tumor
afa86416-94bd-45ab-bfaf-4542de5e81cf,198B,invasive tumor,invasive tumor
4d20e185-c1f4-4261-9c18-a731ed066de9,198B,invasive tumor,invasive tumor
91421de4-6b4b-40bd-a37c-b01d8a812c6b,198B,invasive tumor,invasive tumor
3f6db69e-366d-4d76-801a-de52679b9bcf,198B,invasive tumor,invasive tumor
2ec11a6d-95a8-497d-a673-6cab105374d7,198B,tumor-associated stroma,tumor-associated stroma
2ca0f8db-597c-4b34-97a6-ad02d6e588e9,198B,tumor-associated stroma,tumor-associated stroma
427a4e83-cb14-4de8-9d58-c5e2c29e81ef,198B,tumor-associated stroma,tumor-associated stroma
dcc18fe1-7628-4000-98f5-1e168d7c301e,198B,tumor-associated stroma,tumor-associated stroma
11150594-1c37-48f1-8373-2079c5f9cc08,198B,tumor-associated stroma,invasive tumor
d9d98572-70e4-4830-9a72-79de132a8210,198B,tumor-associated stroma,tumor-associated stroma
d495895b-a609-44e7-95c6-f61231184df2,198B,tumor-associated stroma,invasive tumor
7a0f2599-12a3-4ac4-bd8c-f97d38a02c41,198B,tumor-associated stroma,tumor-associated stroma
38c2e0b7-a550-4ea7-97a2-45f23d4ca6d5,198B,tumor-associated stroma,tumor-associated stroma
38a4441b-27ef-4363-b782-c88662e1b1ea,198B,tumor-associated stroma,tumor-associated stroma
f46aac01-0927-474b-bf94-c46c5d8d3ee9,198B,tumor-associated stroma,invasive tumor
47d2a670-c9fd-4d65-8398-ee354989b670,198B,tumor-associated stroma,invasive tumor
114c6e7d-5457-4acd-9af7-01b492a58d25,198B,tumor-associated stroma,invasive tumor
bca70309-8170-42da-b697-2a7f9988d373,198B,tumor-associated stroma,tumor-associated stroma
b5bd5f73-f34c-42d4-a2d3-38c6c70281e7,198B,tumor-associated stroma,tumor-associated stroma
6930b1d1-dd26-436b-befc-3bf99812d042,198B,tumor-associated stroma,tumor-associated stroma
4ba17f32-3494-4f88-b1a6-63754ceba901,198B,tumor-associated stroma,healthy glands
2e6ea4cc-2005-481c-a8a9-3071d48a9ad5,207B,invasive tumor,invasive tumor
687519e3-00d5-44f8-8046-f672364cf9c6,207B,invasive tumor,invasive tumor
2af09eb6-96ae-4182-b6aa-b01d8962e31c,207B,invasive tumor,invasive tumor
9974744d-f640-433f-aa8b-824eec256446,207B,invasive tumor,invasive tumor
88a7037a-a846-46ad-9638-ab29a665c50b,207B,invasive tumor,invasive tumor
57fd31a7-d844-4833-a292-9424bc5104c9,207B,invasive tumor,tumor-associated stroma
ff18f645-cbce-46f6-bf7e-d3825fada838,207B,invasive tumor,invasive tumor
cb5f863b-2d02-42a5-94f5-93cb3f504c67,207B,invasive tumor,invasive tumor
989a9298-c05a-479a-b6db-31fb2e4f38c4,207B,invasive tumor,invasive tumor
164668f8-cb00-465a-90c4-045f8ff3889d,207B,invasive tumor,invasive tumor
37386299-ebf6-4e2e-9d41-1df67d53ee2a,207B,invasive tumor,invasive tumor
63eb9312-fcdf-4c8d-bf2b-a4e1b7a35c4f,207B,invasive tumor,invasive tumor
5e864da5-4fee-4754-a69b-545174e32a7d,207B,invasive tumor,invasive tumor
d4f4c5a6-fd2c-4447-84bc-d3ef81079f7a,207B,invasive tumor,invasive tumor
046cce26-f6e1-4c22-9c39-0457e1554780,207B,invasive tumor,invasive tumor
5730899f-7967-4e01-8616-b666f824dcef,207B,invasive tumor,invasive tumor
6575b637-befd-4721-b263-4bf943c0d9f4,207B,invasive tumor,invasive tumor
d2b1ec3f-5f22-4ce8-8ed9-ce1ac1de3283,207B,invasive tumor,invasive tumor
de9392fe-ad0e-40e1-9878-c9f3205096f7,207B,invasive tumor,invasive tumor
2395210c-0ec3-4dfa-a09e-2a5a1c85ca4b,207B,invasive tumor,invasive tumor
c88a608b-b7d3-42eb-80a4-619694ac90b6,207B,invasive tumor,invasive tumor
521696d7-710d-4df0-80bd-6306d55dc5a0,207B,invasive tumor,invasive tumor
094314c4-8ddd-4495-a449-3bcba7697446,207B,invasive tumor,invasive tumor
399561a6-dc40-4803-8b36-014c0e0e2da0,207B,invasive tumor,invasive tumor
e64e7f5d-415b-410f-963a-3c7f11bd54ad,207B,invasive tumor,invasive tumor
c58918eb-18a2-4e40-8e72-ac3ab8ac85e5,207B,invasive tumor,invasive tumor
9309b0e3-1a31-431a-ad86-9fc07ad452a0,207B,invasive tumor,invasive tumor
8cb91ba7-bc3b-4837-ac00-e2ce08d8c13a,207B,invasive tumor,invasive tumor
e1a20e6d-9b90-495a-ba3b-ddedc92132f0,207B,invasive tumor,invasive tumor
53fc6ac7-fa04-4999-8671-524310945849,207B,invasive tumor,invasive tumor
121ccdf2-e8a9-4cbf-95f5-62c918602ca2,207B,invasive tumor,invasive tumor
85e9aef1-14bf-4060-8b61-1785de98aca1,207B,invasive tumor,invasive tumor
05162fe4-6237-448d-8411-5afea03459db,207B,invasive tumor,invasive tumor
58922133-746f-419d-bda9-1bf96431996c,207B,invasive tumor,invasive tumor
11814d74-9f27-4019-8429-b6b267fc4ac6,207B,invasive tumor,invasive tumor
d44794c1-aaa8-4abf-b178-667e0c72221e,207B,tumor-associated stroma,tumor-associated stroma
a3c2cdaa-ce63-47ac-b69e-eb4399f59bd3,207B,tumor-associated stroma,invasive tumor
99056cee-1b5d-4cd2-8f03-2d710715d98a,207B,tumor-associated stroma,invasive tumor
bd198691-1b8c-4d43-a872-1b5f5f7752d4,207B,tumor-associated stroma,invasive tumor
240d6006-c738-482f-8860-42b8f0bee75b,207B,tumor-associated stroma,invasive tumor
d10f152c-ca75-4b2a-ba1d-6870ae073ced,207B,tumor-associated stroma,invasive tumor
b26756bb-00b5-4fcc-b7f6-4c5eb75381ae,207B,tumor-associated stroma,invasive tumor
32e9e28b-0f16-4029-b155-b98df3f831ab,207B,tumor-associated stroma,invasive tumor
93019c72-c7cd-4923-92ce-969bf27964fb,207B,tumor-associated stroma,invasive tumor
1f55380c-bc34-49e5-83e7-3553c5a48b4b,207B,tumor-associated stroma,tumor-associated stroma
3cfdf7aa-5e03-4898-86ae-5de6bb385108,207B,tumor-associated stroma,tumor-associated stroma
394fba27-7208-4a01-af82-29440fbb61c6,207B,tumor-associated stroma,invasive tumor
4ed05528-ae4d-4f9c-85a6-5f4ccf7cc297,207B,tumor-associated stroma,invasive tumor
6796b40b-7a4d-41b4-9518-6816fce36ef4,207B,tumor-associated stroma,invasive tumor
574b6dc3-a171-4ade-b0c9-a06f9453ab8d,207B,tumor-associated stroma,invasive tumor
9bce5723-a7d1-48f0-bb29-24a8c7bf99a2,207B,tumor-associated stroma,tumor-associated stroma
02030b90-3e49-42ca-9f93-4922fbacef1e,207B,tumor-associated stroma,invasive tumor
f0d5cf59-9f4f-4357-8774-e07631d88cae,207B,tumor-associated stroma,invasive tumor
585b5fd3-2aa9-4459-bb47-43693cd68d91,207B,tumor-associated stroma,invasive tumor
8791af1f-a2c2-4013-9320-63c7ad7525a4,207B,tumor-associated stroma,tumor-associated stroma
4b133559-2cb6-489e-a5a3-ace67d38834b,207B,tumor-associated stroma,tumor-associated stroma
32944340-67ac-4b06-8251-846551efdf67,207B,tumor-associated stroma,tumor-associated stroma
2d3cbc05-c097-4104-b518-d446173d699d,207B,tumor-associated stroma,invasive tumor
947c2fae-e9b1-4628-a1e6-f360201640c9,207B,tumor-associated stroma,tumor-associated stroma
0c3a17cb-00b1-4e37-8899-5f43395aac08,234B,invasive tumor,tumor-associated stroma
8d1d7439-07ad-4ee3-bef7-e147d73a941f,234B,invasive tumor,tumor-associated stroma
2dd94075-27f7-4a5a-9f77-5cc63a4c5dc3,234B,invasive tumor,invasive tumor
4f4c9e00-0759-4c17-beaf-3849cabf939c,234B,invasive tumor,invasive tumor
0c60dd95-e9b7-4c86-b8e5-6ed28e9acf34,234B,invasive tumor,invasive tumor
a307503d-5838-418e-aa56-12a3b46d0ec9,234B,tumor-associated stroma,tumor-associated stroma
740966df-5f2e-4b65-a5d0-7303ac3549cc,242B,invasive tumor,tumor-associated stroma
bb4b2aa1-e624-42ed-9687-68666c5f3a50,242B,invasive tumor,tumor-associated stroma
10ce6868-af38-4641-95ac-98c5ca8abdbb,242B,invasive tumor,invasive tumor
3d1e84d2-9242-4f71-92ed-287bd3e90fc4,242B,invasive tumor,invasive tumor
08892507-0810-4a2d-b75d-45d4760912bf,242B,invasive tumor,invasive tumor
6e7abfb9-da7d-45f1-9836-6736be7a4329,242B,invasive tumor,invasive tumor
7b69e69f-3b2d-44dc-ab68-038dea750294,242B,invasive tumor,invasive tumor
72aef972-a397-41dd-924b-1298efc502d0,242B,invasive tumor,invasive tumor
62e3e817-5d0a-49d8-a49d-56b25a436ee2,242B,invasive tumor,invasive tumor
8fec2c37-9ab4-4ae7-a9fc-9c4d1bb96043,242B,tumor-associated stroma,tumor-associated stroma
646f14a6-21a8-49d0-8454-f209208d402a,242B,tumor-associated stroma,tumor-associated stroma
bc3ef25f-81bb-428b-b346-7a54bfb618f5,242B,tumor-associated stroma,tumor-associated stroma
334e5408-9f55-48c5-86b3-27e9021df72b,242B,tumor-associated stroma,tumor-associated stroma
aa28fdec-9cae-4bff-ba59-cf861a9fcad4,242B,tumor-associated stroma,tumor-associated stroma
c11b36f2-1098-41c5-8b30-1f743cdb4003,242B,tumor-associated stroma,tumor-associated stroma
9944c869-2a22-4acc-b858-b8a3dfff4ec9,242B,tumor-associated stroma,tumor-associated stroma
57a2d497-7151-488f-8fe4-b1f445b54e2e,242B,tumor-associated stroma,tumor-associated stroma
e3418aa4-f1f2-4c78-8e72-abfa7b9fa606,242B,tumor-associated stroma,tumor-associated stroma
de12c530-4598-42c2-9751-2c1d791ba1b8,242B,tumor-associated stroma,tumor-associated stroma
c19e2394-75bd-45de-a28a-992199df5930,242B,tumor-associated stroma,tumor-associated stroma
88503aa3-f3cc-4979-8a1f-375a9eb3fef3,242B,tumor-associated stroma,invasive tumor
71a55ae1-0196-4007-9a33-add253066c19,242B,invasive tumor,invasive tumor
